"LEVEL3_NAM","LEVEL3_COD","LEVEL2_COD","LEVEL1_COD"
"Alberta","ABT",71,7
"Afghanistan","AFG",34,3
"Argentina Northeast","AGE",85,8
"Argentina South","AGS",85,8
"Argentina Northwest","AGW",85,8
"Alabama","ALA",78,7
"Albania","ALB",13,1
"Aldabra","ALD",29,2
"Algeria","ALG",20,2
"Altay","ALT",30,3
"Aleutian Is.","ALU",70,7
"Amur","AMU",31,3
NA,"MAG",41,4
"Angola","ANG",26,2
"Antarctica","ANT",91,9
"Arizona","ARI",76,7
"Arkansas","ARK",78,7
"Aruba","ARU",81,8
"Ascension","ASC",28,2
"Alaska","ASK",70,7
"Amsterdam-St.Paul Is.","ASP",90,9
"Assam","ASS",40,4
"Antipodean Is.","ATP",51,5
"Austria","AUT",11,1
"Azores","AZO",21,2
"Bahamas","BAH",81,8
"Baleares","BAL",12,1
"Bangladesh","BAN",40,4
"Benin","BEN",22,2
"Bermuda","BER",81,8
"Belgium","BGM",11,1
"Bismarck Archipelago","BIS",43,4
"Burkina","BKN",22,2
"Belarus","BLR",14,1
"Baltic States","BLT",14,1
"Belize","BLZ",80,8
"Bolivia","BOL",83,8
"Borneo","BOR",42,4
"Botswana","BOT",27,2
"Bouvet I.","BOU",90,9
"British Columbia","BRC",71,7
"Buryatiya","BRY",30,3
"Bulgaria","BUL",13,1
"Burundi","BUR",23,2
"Brazil West-Central","BZC",84,8
"Brazil Northeast","BZE",84,8
"Brazil Southeast","BZL",84,8
"Brazil North","BZN",84,8
"Brazil South","BZS",84,8
"Cabinda","CAB",23,2
"Central African Republic","CAF",23,2
"California","CAL",76,7
"Cayman Is.","CAY",81,8
"Cambodia","CBD",41,4
"Chagos Archipelago","CGS",29,2
"Chad","CHA",24,2
"China South-Central","CHC",36,3
"Hainan","CHH",36,3
"Inner Mongolia","CHI",36,3
"Manchuria","CHM",36,3
"China North-Central","CHN",36,3
"Qinghai","CHQ",36,3
"China Southeast","CHS",36,3
"Tibet","CHT",36,3
"Xinjiang","CHX",36,3
"Cocos (Keeling) I.","CKI",42,4
"Chile Central","CLC",85,8
"Colombia","CLM",83,8
"Chile North","CLN",85,8
"Chile South","CLS",85,8
"Cameroon","CMN",23,2
"Connecticut","CNT",75,7
"Canary Is.","CNY",21,2
"Colorado","COL",73,7
"Comoros","COM",29,2
"Congo","CON",23,2
"Cook Is.","COO",61,6
"Corse","COR",12,1
"Costa Rica","COS",80,8
"C. American Pacific Is.","CPI",80,8
"Cape Provinces","CPP",27,2
"Caprivi Strip","CPV",27,2
"Caroline Is.","CRL",62,6
"Crozet Is.","CRZ",90,9
"Chita","CTA",30,3
"Chatham Is.","CTM",51,5
"Cuba","CUB",81,8
"Cape Verde","CVI",21,2
"Cyprus","CYP",34,3
"Czechoslovakia","CZE",11,1
"Delaware","DEL",78,7
"Denmark","DEN",10,1
"Djibouti","DJI",24,2
"Dominican Republic","DOM",81,8
"Desventurados Is.","DSV",85,8
"East Aegean Is.","EAI",34,3
"Easter Is.","EAS",61,6
"Ecuador","ECU",83,8
"Egypt","EGY",20,2
"East Himalaya","EHM",40,4
